0,,AA,,400,,736,,36,,640,,166,,[1, 2, 3, 4, 5, 18, 19]
1,,EA,,31,,443,,111,,673,,106,,[0, 2, 3, 4, 5, 18, 19]
2,,AG,,336,,340,,103,,66,,673,,[0, 1, 3, 4, 5, 18, 19]
3,,DB,,1,,637,,360,,731,,416,,[0, 1, 2, 4, 5, 18, 19]
4,,AB,,100,,363,,311,,4,,466,,[0, 1, 2, 3, 5]
5,,GB,,403,,631,,446,,171,,76,,[0, 1, 2, 3, 4]
6,,AD,,614,,76,,330,,676,,676,,[7, 8, 9, 10, 11]
7,,GH,,63,,761,,133,,631,,66,,[6, 8, 9, 10, 11]
8,,ED,,66,,770,,636,,736,,366,,[6, 7, 9, 10, 11]
9,,DG,,403,,633,,401,,300,,600,,[6, 7, 8, 10, 11]
10,,DD,,70,,634,,336,,444,,746,,[6, 7, 8, 9, 11]
11,,DA,,700,,30,,606,,343,,631,,[6, 7, 8, 9, 10]
12,,HE,,76,,176,,76,,103,,663,,[13, 14, 15, 16, 17]
13,,DH,,333,,3,,113,,334,,761,,[12, 14, 15, 16, 17]
14,,GA,,663,,31,,347,,666,,700,,[12, 13, 15, 16, 17]
15,,GG,,470,,746,,76,,643,,603,,[12, 13, 14, 16, 17]
16,,HB,,46,,67,,466,,301,,767,,[12, 13, 14, 15, 17]
17,,BD,,366,,10,,466,,644,,341,,[12, 13, 14, 15, 16]
18,,AH,,116,,677,,603,,30,,641,,[19, 0, 1, 2, 3]
19,,BG,,7,,437,,606,,31,,734,,[18, 0, 1, 2, 3]
